NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Latitude,Longitude
SPPG Pandeglang Mandalawangi Cikoneng 2,"Jalan Raya Pandeglang-Pari KM 11, Kampung Bunut, Desa Cikoneng, Kecamatan Mandalawangi, Kabupaten Pandeglang, Provinsi Banten",21-08-2025,BANTEN,Wilayah II,Akmal Fadila Rahman,,-6.30833,105.97213
SPPG Pandeglang Carita Pejamben,"SPPG Nurussaadah Sajira Kampung Cibango Kidul RT 08 RW 03, Desa Pejamben, Kecamatan Carita, Kabupaten Pandeglang, Banten",22-08-2025,BANTEN,Wilayah II,Agus Windu Saputra,,-6.33726,105.83117
SPPG Serang Cinangka Bantarwaru,"Kampung Kepuh Rt 001 Rw 001 Desa Bantarwaru, Kecamatan Cinangka, Kabupaten Banten, Bantar Waru, Cinangka,  Kabupaten Serang, Banten",26-08-2025,BANTEN,Wilayah II,Ima Mukaromah,,-6.20208,105.87065
SPPG Pandeglang Pagelaran Sindanglaya 2,"Kp. Kadumulya, Rt.003/003. Desa Sindanglaya. Kec. Pagelaran. Kab. Pandeglang, Banten , Sindanglaya, Pagelaran, Kab. Pandeglang, Banten",29-08-2025,BANTEN,Wilayah II,Drajat Saefullah,,-6.39603,105.84851
SPPG Kota Bengkulu Singaran Pati Jembatan Kecil,"Jl.P. Tendean km 6,5 No.26 rt.004. Rw.002",10-06-2025,BENGKULU,Wilayah I,Erna Febriana,Yayasan Putri Bungsu Asiah,-3.81461,102.28997
SPPG Kota Bengkulu Kampung Melayu Padang Serai,"Jl. Sukamaju Rt.007 Rw.001, Kelurahan Padang Serai, Kecamatan Kampung Melayu, Kota Bengkulu, Bengkulu",16-09-2025,BENGKULU,Wilayah I,Meldi Setiawan Putra,,-3.89446,102.31717
SPPG Bengkulu Utara Arma Jaya Kemumu,"Jl. Jendral Ahmad Yani Rt.004/Rw.002, Kemumu, Arma Jaya, Kabupaten Bengkulu Utara, Bengkulu",21-09-2025,BENGKULU,Wilayah I,M. Irfan Al Gifari,,-3.43399,102.2452
SPPG Sleman Depok Maguwoharjo,"Kapuhsari-Kordan, RT 007 / RW 005",04-08-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II, Tery Ayu Fauzi,Yayasan Ma'had Sunan Kalijaga,-7.76312,110.41944
SPPG Bantul Bantul Palbapang 2,`Jl. Atmaja 3 Sumuran Taskombang Palbapang Bantul Kabupaten Bantul Daerah Istimewa Yogyakarta`,05-08-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II,"Hendra Dwi Yulianto, S.H.",,-7.90536,110.31666
SPPG Kulon Progo Samigaluh Gerbosari,"Jetis RT 20/40, Gerbosari, Samigaluh, Kulon Progo, 55673",14-04-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II,Salman Alfarisi Iqbal Hatta,Yayasan Patriot Solidaritas Nusantara,-7.66569,110.16621
SPPG Gunungkidul Ponjong Sumbergiri,"Payak RT.002 RW.010, SUMBERGIRI, PONJONG, KAB. GUNUNGKIDUL, DAERAH ISTIMEWA YOGYAKARTA",19-08-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II,"Rio Leandro Lamas, S.M.",,-7.9668,110.72228
SPPG Sleman Kalasan Purwomartani,"Jl. Temanggal II Gg. Arjuna No.1, RW.3, Sambisari, Purwomartani",24-02-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II,"Nabila Salma, S.TP.",Yayasan Patriot Solidaritas Nusantara,-7.74592,110.448
SPPG Sleman Prambanan Sambirejo,"Nglengkong, sambirejo, prambanan, sleman",28-07-2025,DAERAH ISTIMEWA YOGYAKARTA,Wilayah II,RM Hening Hutomo Putro,Yayasan KKLKMD Ngelengkong,-7.79381,110.48277
SPPG Jakut Koja Tugu Utara 1,"Kp Beting Remaja no 36 RT 05 RW 019 Kel tugu Utara, Kec. Koja,  Jkt Utara, Daerah Khusus jakarta",17-02-2025,DKI JAKARTA,Wilayah II,Tiara Alizia,Yayasan Wadah Titian Harapan,-6.12101,106.91977
SPPG Jakut Cilincing Kalibaru 2,"Jl. Cilincing Baru No. 6, RT.01/RW.15",18-08-2025,DKI JAKARTA,Wilayah II,Irsyaad Hakim Herfaherwanto,,-6.10315,106.91635
SPPG Jaktim Pasar Rebo Kalisari 1,"Komplek PUSHUBAD, Jl. Radar IV, RT.03/RW.04",21-07-2025,DKI JAKARTA,Wilayah II,Melia Dwi Fortuna,Yayasan Kartika Eka Paksi,-6.33373,106.84249
SPPG Tanjung Jabung Timur Dendang Catur Rahayu,"Jalan jalur 2 RT. 07, CATUR RAHAYU, DENDANG, KAB. TANJUNG JABUNG TIMUR, JAMBI",18-08-2025,JAMBI,Wilayah I,Mardiansyah,,-1.20346,103.96008
SPPG Batanghari Muara Bulian Muara Bulian,JL. Jend. A. Yani Komplek SMA RT. 01 RW.02,21-07-2025,JAMBI,Wilayah I,Karnain Julian Nazri,Yayasan Mitra Pangan Global,-1.72012,103.26126
SPPG Kota Jambi Alam Barajo Rawa Sari,"Jalan H. Ibrahim, Kelurahan Rawasari, Kecamatan Alam Berajo, Kota Jambi, Rawa Sari, Alam Barajo, Kota Jambi, Jambi",27-08-2025,JAMBI,Wilayah I,Febrina Aspyan Tari,,-1.62396,103.57962
SPPG  Merangin Nalo Tantan Sungai Ulak,Jln. Pematang Permai RT.010/005 Sungai Ulak Merangin Jambi,30-09-2025,JAMBI,Wilayah I,Deri Kurniawan,,-2.03445,102.27249
SPPG Bandung Cimaung Pasirhuni,"Jl. Gunung Puntang, Kampung Sekartoya Rt.004 / Rw. 03 Desa Pasirhuni, Kecamatan Cimaung, Kab. Bandung, Jawa Barat",01-09-2025,JAWA BARAT,Wilayah II,Aji Muhammad Mulki,,-7.10036,107.58293
SPPG Sukabumi Gegerbitung Karangjaya,"Kp Tegal Tengah Rt 003 Rw 001 Desa Karangjaya Kecamatan Gegerbitung, Kabupaten Sukabumi, Jawa Barat.",01-09-2025,JAWA BARAT,Wilayah II,Agung Nawawi,,-6.98218,107.02661
SPPG Garut Cilawu Desakolot 2,"Jl. Genteng Munjul, Kampung Cimaung Jati, RT 01/RW 03, Desa Kolot, Kecamatan Cilawu, Kabupaten Garut, Jawa Barat",01-10-2025,JAWA BARAT,Wilayah II,Sondang Prima Derajat,,-7.26102,107.89861
SPPG Garut Bayongbong Bayongbong,"Kampung Babakan Caringin RT 003 RW 005 Kelurahan. Bayongbong, Kecamatan Bayongbong, Kabupaten Garut, Provinsi Jawa Barat",02-06-2025,JAWA BARAT,Wilayah II,Ridwan Nurul Alif,Yayasan Karya Utami Insani,-7.27045,107.82051
SPPG Sukabumi Tegalbuleud Tegalbuleud,"Kp. Sinar Bakti RT 004 RW 001, Buniasih kec. Tegalbuleud kab. Sukabumi Prov. Jawa Barat ",02-06-2025,JAWA BARAT,Wilayah II,Asep Jindan,Yayasan Relawan Ruang Peduli,-7.42534,106.74062
SPPG Karawang Lemahabang Karangtanjung,"Dusuntanjung Rt 04/02, Karangtanjung, Lemahabang, Kabupaten Karawang, Jawa Barat",02-09-2025,JAWA BARAT,Wilayah II,Roni Maulana,,-6.29227,107.28881
SPPG Ciamis Cisaga Mekarmukti,Jl. Raya Ciamis Banjar No. 166 Dusun Sambungjaya RT 011 / RW 008,02-09-2025,JAWA BARAT,Wilayah II,Eka Riyanto,,-7.34899,108.51217
SPPG Majalengka Banjaran Banjaran,"Blok Sukamanah Rt 005 Rw 006, Desa Banjaran, Kecamatan Banjaran, Kabupaten Majalengka, Jawa Barat ",02-10-2025,JAWA BARAT,Wilayah II,Faisal Rahmat Irfani,,-6.96957,108.31306
SPPG Indramayu Gantar Sanca,"Jl. Raya Sanca Gantar Blok Parabon Rt.Rw 026.007, Sanca, Kec. Gantar, Kab. Indramayu, Jawa Barat",02-10-2025,JAWA BARAT,Wilayah II,Abdul Khanan,,-6.51329,107.97191
SPPG Majalengka Ligung Ampel,"Jl. Raya Ampel Bantarwaru Blok Danaraja Rt. 002 Rw. 001 , Ampel, Ligung, Kabupaten Majalengka, Jawa Barat",02-10-2025,JAWA BARAT,Wilayah II,Devana Ray,,-6.65333,108.28987
SPPG Sukabumi Cidahu Jayabakti 2,Jl. Raya Bojongpari Parakansalak Kampung Bojongpari Rt. 004 Rw. 002,02-10-2025,JAWA BARAT,Wilayah II,Ahmad Muhajirin,,-6.39238,106.74364
SPPG Bogor Parung Panjang Pingku,"Kp Karehkel, RT 03 / RW 01",04-08-2025,JAWA BARAT,Wilayah II,Muhammad Rizqi Khoiri,,-6.35045,106.57297
SPPG Kota Bogor Tanah Sareal Kencana,"Jl. Kalimurni Barat, Perumahan Darmais, Rt 003/002",04-08-2025,JAWA BARAT,Wilayah II,Rio Ramdani,Yayasan Berkah Jalan Langit,-6.5343,106.78927
SPPG Subang Binong Binong,JL. Raya Lembangsari Rt.017/Rw.005 Desa Kecamatan Binong Kabupaten Subang,04-08-2025,JAWA BARAT,Wilayah II,Putri Aprilia Widia Ningsih,Yayasan Garda Kosong Delapan,-6.40742,107.79308
SPPG Pangandaran Kalipucang Cibuluh,Dusun Cibuluh 1 RT 10 RW 03 Kec Kalipucang,04-08-2025,JAWA BARAT,Wilayah II,Rendi Handi Sunarto,Yayasan Miftahul Huda Al-Musri,-7.63545,108.74758
SPPG Bandung Majalaya Bojong,"RT 004 RW 001, Kampung Bojong Pancen, Desa Bojong,Kecamatan Majalaya, Kabupaten Bandung, Provinsi Jawa Barat",04-08-2025,JAWA BARAT,Wilayah II,Muhammad Wildan,,-7.03972,107.77621
SPPG Ciamis Cihaurbeuti Pamokolan,"Kp. Kersamenak RT 014 RW 008, Desa Pamokolan, Kecamatan Cihaurbeuti, Kabupaten Ciamis, Provinsi Jawa Barat",04-08-2025,JAWA BARAT,Wilayah II,Nuh Ismail,Yayasan Miftahul Mubarok,-7.22395,108.20242
SPPG Cianjur Cilaku Sirnagalih 4,"Jl. Rancagoong No 31,Desa.Sirnagalih, Kecamatan Cilaku, Kabupaten Bandung, Jawa Barat",04-10-2025,JAWA BARAT,Wilayah II,Rocky Ardian Stanlie,,-6.85205,107.1317
SPPG Cianjur Tanggeung Sukajaya,"Kampung Babakan Rt 003 Rw 003 Desa Sukajaya Kecamatan Tanggeung Kabupaten Cianjur, Jawa Barat",04-10-2025,JAWA BARAT,Wilayah II,Nuradi,,-7.19992,107.58884
SPPG Cianjur Cibeber Cihaur,"Kampung Tetelar, RT 001 /RW 006, Desa Cihaur, Kecamatan Cibeber, Kabupaten Cianjur, Provinsi Jawa Barat",05-05-2025,JAWA BARAT,Wilayah II,Alva Diela Daniswara,Yayasan Aku Cinta Cianjur,-6.93963,107.13202
SPPG Karawang Telukjambe Timur Telukjambe,Jalan Tlk Jambe Blok B-7 Karawang Sentra Bizhub,05-05-2025,JAWA BARAT,Wilayah II,Bagas Rizki Mahaditya,Yayasan Sultan KH Hasanuddin Jalil,-6.33498,107.29594
SPPG Sukabumi Cidolog Cidolog,Kp. Cilutung RT. 08/ RW. 03,05-05-2025,JAWA BARAT,Wilayah II,Juan setiawan,Yayasan Bangun Bangsa Bersama,-7.31763,106.84358
SPPG Tasikmalaya Mangunreja Sukasukur,Jl. Warunglegok - Cikeusal Kp. Baru  RT 02 RW 09 Desa Sukasukur kec. Mangunreja Kab. Tasikmalaya,05-05-2025,JAWA BARAT,Wilayah II,Bagja Sanjaya,Yayasan Amanah Puri Annisa,-7.37212,108.08434
SPPG Cirebon Plumbon Gombang,Jl. Pesantren Blok Blangbong  RT. 006 / RW. 002 ,05-05-2025,JAWA BARAT,Wilayah II,Thoyibi,Yayasan As-Shobari,-6.70147,108.48212
SPPG Cianjur Karangtengah Meleber,Jl. Didi Prawira Kusumah RT 004/003 Desa Maleber Kec. Karang Tengah Kab. Cianjur,05-05-2025,JAWA BARAT,Wilayah II,Qori Siti Syarifah,Yayasan Tunas Mekar Cianjur,-6.82105,107.17216
SPPG Polda Jabar 2,Jl. Raya Larangan No.10 RT/RW 01/01 Desa Larangan Kec. Lohbener Kab. Indramayu,05-05-2025,JAWA BARAT,Wilayah II,Noval Trizaenal Muttaqin,Yayasan Kemala Bhayangkari Jawa Barat,-6.36913,108.11972
SPPG Sukabumi Cicurug Mekarsari,Kampung Nyangkowek RT 02 RW 06,05-05-2025,JAWA BARAT,Wilayah II,Duruh Restu Barkah,Yayasan Relawan Ruang Peduli,-6.80459,106.77369
SPPG Purwakarta Campaka Cijaya,"Kampung Mekarjaya Rt.04/Rw.01 Desa Cijaya Kecamatan Campaka, Kabupaten Purwakarta, Jawa Barat",05-09-2025,JAWA BARAT,Wilayah II,Muhamad Indra Kharismallah,,-6.5096,107.48388
SPPG Ciamis Pamarican Bangunsari 2,"Kampung Loasari Rt 005 Rw 007, Desa Bangunsari, Kecamatan Pamarican, Kabupaten Ciamis, Jawa Barat 46382",06-09-2025,JAWA BARAT,Wilayah II,Adi Supriyatna,,-7.4258,108.53517
SPPG Sumedang Cimanggung Mangunarga,Kawasan Industri Dwipapuri Abadi Kav. M22,07-07-2025,JAWA BARAT,Wilayah II,Muhammad Adli Dzulfikri,Yayasan Halibut Venus Perkasa,-6.95989,107.79867
SPPG Bekasi Cikarang Selatan Serang,"Perumahan Jati Permai, J4WF+693 Serang, Bekasi Regency, West Java. 17532",07-07-2025,JAWA BARAT,Wilayah II,IQBAL RAFSANJANI,Yayasan Kulina Indonesia Emas,-6.35425,107.12423
SPPG Garut Peundeuy Peundeuy,Jalan Kp Cikalo RT 003/004 Desa Peundeuy Kecamatan Pendeuy Kabupaten Garut Jawa Barat,07-07-2025,JAWA BARAT,Wilayah II,Dani Maryono,Yayasan Guna Insan Mandiri,-7.52751,107.91873
SPPG Cianjur Sukaresmi Pakuon,"Kp Kingkung, Jl Raya Kingkung No 24, RT 03, RW 01, Desa Pakuon, Kec Sukaresmi, Kab Cianjur, Jawa Barat",07-09-2025,JAWA BARAT,Wilayah II,Rizal Musyadad,,-6.71451,107.06866
SPPG Garut Banjarwangi Kadongdong 2,"Jl. Kampung Joho Rt 003 Rw 001, Desa Kadongdong, Kecamatan Banjarwangi, Kabupaten Garut, Jawa Barat ",08-09-2025,JAWA BARAT,Wilayah II,Ihsan Rizal Zulqipli,,-7.44054,107.90361
SPPG Garut Wanaraja Cinunuk,"Jl. Yusuf Tauzirie Kp. Padasari RT 04 _x000D_
RW 07 Ds. Cinunuk Kec. Wanaraja (Bekas Pabrik _x000D_
Wig), CINUNUK, WANARAJA, KAB. GARUT, JAWA BARAT",09-06-2025,JAWA BARAT,Wilayah II,Annisa Ashabul Jannah,Yayasan Penyokong Gizi Bangsa,-7.17403,107.98045
SPPG Ciamis Cipaku Cipaku,"Dusun Sindanggirang RT 005 RW 006, Desa Cipaku, Kecamatan Cipaku, Kabupaten Ciamis, Provinsi Jawa Barat",09-06-2025,JAWA BARAT,Wilayah II,Rizqi Ahmad Fauzi,Yayasan Aqsol Huda Bojong,-7.21959,108.3306
SPPG Sumedang Tanjungsari Pasigaran,"Kampung Karang Anyar (Rumah Putih) Rt 02/Rw 01, Kel. Pasigaran, Kecamatan Tanjungsari, Kabupaten Sumedang, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Arif Rohmat Sobandi,,-6.86711,107.8117
SPPG Cianjur Sukanagara Ciguha,"Kampung Margamulya Rt02/Rw07 Desa Ciguha, Kecamatan Sukanagara Kabupaten Cianjur, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Hibatul Fadli Dzil Ikram,,-7.10404,107.1196
SPPG Garut Kersamanah Kersamanah,Kampung Panamur Rt/Rw  002/008,09-10-2025,JAWA BARAT,Wilayah II,Yudistira Surya Muhsin,,-7.05275,108.03669
SPPG Kuningan Cigugur Cipari 2,"Lingkungan Kondang Rt 009 Rw 003, Cipari, Kecamatan Cigugur, Kabupaten Kuningan, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Aef Saeful Hidayat,,-6.9686,108.4591
SPPG Kota Tasikmalaya Kawalu Karanganyar,Kp Cihonje RT.001 RW.002 Kelurahan Karang Anyar Kecamatan Kawalu Kota Tasikmalaya,11-08-2025,JAWA BARAT,Wilayah II,Robi Ridhayatul Gaos,,-7.3644,108.17613
SPPG Bekasi Cikarang Barat Cikedokan,"Pondok Ungu Permai Sektor V Blok E 6 Nomer 7, Jalan Anggrek 003",11-08-2025,JAWA BARAT,Wilayah II,Aditya Agung Pratama,,-6.17495,107.01846
SPPG Cianjur Mande Cikidangbayabang,Kampung Gandasoli RT.01 RW.03 Desa Cikidang Bayabang Kec. Mande Kab.Cianjur Jawa Barat,11-08-2025,JAWA BARAT,Wilayah II,Faizal Taufik Hidayat,,-6.76108,107.25773
SPPG Kuningan Jalaksana Sukamukti,Dusun Wage Rt 22 Rw 006 Desa Sukamukti,11-08-2025,JAWA BARAT,Wilayah II,Ilham Mahendra,,-6.93104,108.45988
SPPG Cianjur Sukaluyu Mekarjaya,"Kampung Cihandeuleum RT.001/RW.001, Desa Mekarjaya, Kecamatan Sukaluyu, Kabupaten Cianjur, Kabupaten Cianjur, Jawa Barat",11-08-2025,JAWA BARAT,Wilayah II,RANGGA SUDARWAN SAPUTRA,,-6.86449,107.18321
SPPG Garut Limbangan Neglasari,Kp. Lebak Nangka Jl. Raya Selaawi-Limbangan,11-08-2025,JAWA BARAT,Wilayah II,Dede Abdul Majid Toharudin Gani,,-7.03664,107.98673
SPPG Cianjur Cidaun Sukapura,"JL.CIUJUNG GARDUH RT.001 RW.003 DESA SUKAPURA KECAMATAN CIDAUN, KAB. CIANJUR, JAWA BARAT",11-08-2025,JAWA BARAT,Wilayah II,Ilham M Faisal,,-7.49376,107.36928
SPPG Kota Tasikmalaya Indihiang Panyingkiran 3,"Kampung Liunggunung Wetan Rt 002 Rw 06 Panyingkiran Kec. Indihiang Kota Tasikmalaya, Jawa Barat",11-10-2025,JAWA BARAT,Wilayah II,Meisya Rohalia Hendrawan,,-7.30291,108.20487
SPPG Majalengka Banjaran Girimulya,Jl. Majalengka Talaga Blok Situsari Rt 03 Rw 05 Desa Girimulya Kecamatan Banjaran Kabupaten Majalengka Jawa Barat,11-10-2025,JAWA BARAT,Wilayah II,Imam Maulana Akbar,,-6.94163,108.31871
SPPG Indramayu Sindang Kenanga,Jalan Industri No 02 Blok Dukuh RT/RW 017/005 Desa Kenanga Kecamatan Sindang Kabupaten Indramayu Jawa Barat,13-01-2025,JAWA BARAT,Wilayah II,Haulah Abdi Hanifah,Yayasan Masjid Miftahussalam Riftah,-6.36504,108.3127
SPPG Subang Kalijati Kalijati Barat,JL. R. SURYADI SUYADARMA. PANGKALAN TNI AU SURYADARMA.,13-01-2025,JAWA BARAT,Wilayah II,Gilang Satria Pandjiranau,Yayasan Adi Upaya,-6.52496,107.669
SPPG Bandung Majalaya Padaulun,Kp Kebontiwu RT 01 RW 01,13-01-2025,JAWA BARAT,Wilayah II,Gita Ranjani,Yayasan Amanah Puri Annisa,-7.04539,107.74726
SPPG Garut Kadungora Karangmulya,"Jalan Raya Ranca Salak Nomor 99, Kampung Cilageni, RT 005 RW 005",13-06-2025,JAWA BARAT,Wilayah II,Widia Maesaroh,Yayasan Pendidikan dan Sosial Al-Bayinah Garut,-7.088,107.87377
SPPG Sumedang Situraja Situraja Utara,Jl. Umar Wirahadikusumah No 174 RT 01 RW 07,13-06-2025,JAWA BARAT,Wilayah II,Wildan Bahtiar,,-6.84005,108.01922
SPPG Indramayu Kertasemaya Jengkok,"Jl. Jengkok Raya Blok Secang Rt 004/Rw 001, Jengkok, Kecamatan Kertasemaya, Kabupaten Indramayu, Jawa Barat",13-10-2025,JAWA BARAT,Wilayah II,Vizar Aulia Rahman,,-6.52118,108.34929
SPPG Karawang Cikampek Dawuan Tengah,"Dusun Poponcol  Rt. 003 Rw. 001, Dawuan Tengah, Kecamatan Cikampek, Kabupaten Karawang, Jawa Barat",13-10-2025,JAWA BARAT,Wilayah II,Bambang Adiputro,,-6.39853,107.43515
SPPG Kuningan Cidahu Cieurih 3,"Jl. Raya Kuningan Ciledug Rt. 001 Rw. 001 Desa Cieurih Kecamatan Cidahu Kabupaten Kuningan, Jawa Barat",13-10-2025,JAWA BARAT,Wilayah II,Deden Rusmana,,-6.97307,108.65381
SPPG Cianjur Cikalong Kulon Cinangsi,"JL. ALTERNATIF CINANGSI - CIBOGO, KP. PASIR WARU RT 04/01 ",14-01-2025,JAWA BARAT,Wilayah II,"Sandra Prihayuda, S.Kom.",Yayasan Tarbiyatul Qur`An Cisarua Tarbiqu,-6.55898,107.79485
SPPG Subang Pamanukan Rancasari,"Jl. Raya Rancasari Km.4 Rt10/Rw04, Ds Rancasari",14-04-2025,JAWA BARAT,Wilayah II,Lalan Rudiana,Yayasan Mishbahul Huda Pamanukan,-6.31352,107.82126
SPPG Sukabumi Sukalarang Prianganjaya 2,"Kampung Sungaren, Desa Priangan Jaya, Kec Sukalarang Kab Sukabumi, Jawa Barat, Prianganjaya, Sukalarang, Kab. Sukabumi, Jawa Barat",14-09-2025,JAWA BARAT,Wilayah II,Alfan Fauzan,,-6.90322,107.00675
SPPG Karawang Tirtamulya Citarik,"Kampung Tangkil Poris Rt / Rw 02/02 Desa Citarik Kecamatan Tirtamulya  Kabupaten Karawang, Jawa Barat",14-10-2025,JAWA BARAT,Wilayah II,Hanipah Vina Yulianti,,-6.35274,107.45024
SPPG Kuningan Cigandamekar Sangkanurip 2,"Jl. Ampera No.14, Rt 014 Rw 005, Dusun Pon, Sangkanhurip, Kecamatan Cigandamekar, Kabupaten Kuningan, Jawa Barat",14-10-2025,JAWA BARAT,Wilayah II,Deni Raka Ramdan Junior,,-6.89444,108.50149
SPPG Karawang Telagasari Pasirtalaga 3,"Jl. Kaum Selatan No. 83 Dusun Pasirtalaga Rt.05 Rw.02 Desa Pasirtalaga Kecamatan Telagasari Kabupaten Karawang, Jawa Barat",14-10-2025,JAWA BARAT,Wilayah II,Abu Rizal Imami,,-6.29222,107.38443
SPPG Indramayu Lohbener Lohbener,"Jl. By Pass Pantura Blok Taman Uks Desa Lohbener Kec. Lohbener Indramayu, Kab. Indramayu, Jawa Barat",14-10-2025,JAWA BARAT,Wilayah II,Muhammad Aep Saepudin,,-6.3993,108.27754
SPPG Garut Pangatikan Babakan Loa,"Kampung Babakan Loa Rt003/Rw 007 Desa Babakan Loa, Kecamatan Pangatikan Kabupaten Garut, Jawa Barat",15-10-2025,JAWA BARAT,Wilayah II,Muhammad Bilal,,-7.16154,107.99919
SPPG Subang Cipunagara Sidajaya,"Dusun Sidajaya Rt 003 Rw 002, Sidajaya, Kecamatan Cipunagara, Kabupaten Subang, Jawa Barat",15-10-2025,JAWA BARAT,Wilayah II,Riki Hendrawan,,-6.48809,107.82317
SPPG Ciamis Rancah Situmandala 2,"Dusun Tarikolot Rt 002 / Rw 008, Situmandala, Rancah, Kabupaten Ciamis, Jawa Barat",16-09-2025,JAWA BARAT,Wilayah II,Ali Fadli,,-7.20127,108.50265
SPPG Garut Cibatu Cibunar,"Perumahan Bunar Indah, Cibunar, Kecamatan Cibatu, Kabupaten Garut, Jawa Barat",16-10-2025,JAWA BARAT,Wilayah II,Fauzi Muhammad Rifki,,-7.0801,107.98552
