;Unnamed: 0;NamaSPPG;Alamat;Tanggal Opsnal;Provinsi;wilayah;Nama Kepala;Nama Yayasan;Latitude;Longitude
41;41;SPPG Bireuen Kota Juang Geulanggang Baro;Jl. Kol Katamso, Kelurahan Geulanggang Baro, Kecamatan Kota Juang, Kabupaten Bireun, Aceh.;04-10-2025;ACEH;Wilayah I;Ajrian Ilmi;;5.20233;96.72135
43;43;SPPG Aceh Jaya Jaya Leupe;Jln. Meulaboh-Banda Aceh;05-05-2025;ACEH;Wilayah I;Feisal Akbar;Yayasan Kurnia Jaya Abadi;5.50181;95.26783
44;44;SPPG Kota Subulussalam Simpang Kiri Subulussalam Timur;Jl. Raja Tua, Lae Oram, Simpang Kiri Kota Subulussalam, Aceh;05-05-2025;ACEH;Wilayah I;Samsir Kombih ;Yayasan Jasa Subulussalam ;2.66907;97.99963
45;45;SPPG Simeulue Simeulue Barat Layabaung;Jl. Sinabang-Sibigo, Dusun Teripah, Desa Layabaung, Kec. Simeulue Barat, Kab. Simeulue;05-05-2025;ACEH;Wilayah I;Faisul Siddiq ;Yayasan Bina Generasi Simeulue;2.75313;96.07406
46;46;SPPG Bireuen Peusangan Matang Sagoe;Jl. Banda Aceh-Medan, Desa Matang Sagoe, Kec. Peusangan, Kab. Bireuen ;05-05-2025;ACEH;Wilayah I;Saiful Hadi;Yayasan Kurnia Cahaya Permata;5.19746;96.78129
47;47;SPPG Aceh Timur Idi Timur Seuneubok Barat;Jl. Medan Banda Aceh Desa Seuneubok Barat  Kec. Idi Timur Kabupaten Aceh Timur, Provinsi Aceh;05-09-2025;ACEH;Wilayah I;Hablullah;;4.71318;97.883
48;48;SPPG Aceh Singkil Gunung Meriah Blok VI Baru 2;Jl. Simpang Jengkol, Blok Vi Baru, Gunung Meriah, Aceh Singkil, Blok Vi Baru, Gunung Meriah, Kab. Aceh Singkil, Aceh;05-09-2025;ACEH;Wilayah I;Apt. Dika Yorindra Ramadhan;;2.37719;97.97198
49;49;SPPG Kota Langsa Langsa Timur Alue Pineung;Desa Alur Piang Kec. Langsa Timur Kota Langsa Prov. Aceh;05-09-2025;ACEH;Wilayah I;Mahzar;;4.4523;98.01007
50;50;SPPG Aceh Barat Johan Pahlawan Drien Rampak 3;Jl. Bkkbn, Desa Drien Rampak, Kecamatan Johan Pahlawan, Kabupaten Aceh Barat, Provinsi Aceh;05-09-2025;ACEH;Wilayah I;Irfan Nasution;;4.15619;96.12896
51;51;SPPG Aceh Tengah Pegasing Simpang Kelaping 2;Jl. Yos Sudarso, Kelurahan Simpang Kelapinng, Kecamatan Pegasing, Kabupaten Aceh Tengah, Aceh;05-09-2025;ACEH;Wilayah I;Rezza Bintang Pamungkas;;4.59888;96.8162
52;52;SPPG Kota Banda Aceh Kuta Alam Lambaro Skep;Jl. Syiah Kuala No 19 Lambaro Skep Kec. Kuta Alam Kab. Kota Banda Aceh, Prov. Aceh, Lambaro Skep, Kuta Alam, Kota Banda Aceh, Aceh;05-10-2025;ACEH;Wilayah I;Said Beldy Setiawan;;5.56834;95.32946
53;53;SPPG Kota Langsa Langsa Kota Jawa;Jl. Panglima Polem,Kelurahan Jawa Kec. Langsa Kota Kab. Kota Langsa, Prov. Aceh;05-10-2025;ACEH;Wilayah I;Abdul Latif Silalahi;;4.48003;97.96466
54;54;SPPG Aceh Tenggara Babussalam Pekhapat Sepakat;Jl.Louser, Desa Kutarih, Kecamatan Babussalam Kabupaten Aceh Tenggara;06-01-2025;ACEH;Wilayah I;Sutrisno;;3.46745;97.81997
55;55;SPPG Aceh Selatan Tapaktuan Lhok Bengkuang;Jl. TR Angkasah, Lhok Bengkuang, Kec. Tapaktuan, Kab. Aceh Selatan;06-01-2025;ACEH;Wilayah I;Enda Marza, S.Pd.;Yayasan Berkah Cahaya;3.25843;97.1887
56;56;SPPG Kota Banda Aceh Ulee Kareng Lambhuk;Jl. Kupula, Desa Lambhuk, Kec. Ulee Kareng, Kota Banda Aceh;06-01-2025;ACEH;Wilayah I;M. Razi Aswanda;Yayasan Nasabe Pangan Bergizi;5.55328;95.33869
57;57;SPPG Aceh Timur Peureulak Alue Nibong;Dusun Ulee Tutu, Desa Alue Nibong, Kecamatan Peureulak kota, Kabupaten Aceh Timur, Prov Aceh 24453;06-01-2025;ACEH;Wilayah I;Adelia Yolanda;Yayasan Nasabe Pangan Bergizi;4.78508;97.89068
58;58;SPPG Aceh Barat Johan Pahwalan Kuta Padang;JL. Manek Roo ;06-01-2025;ACEH;Wilayah I;GLADYS NURCINTAMI;Yayasan Pemuda Santri Aceh Barat;4.15487;96.12817
59;59;SPPG Aceh Tengah Bebesen Blank Kolak II;Jalan Yos Sudarso, No. 795, Desa Blang Kolak II, Kec. Bebesen, Kab. Aceh Tengah;06-01-2025;ACEH;Wilayah I;Ahmad Ihya Shalihin;Yayasan Nasabe Pangan Bergizi;4.62338;96.8378
60;60;SPPG Aceh Tenggara Lawe Alas Kute Batu Baru;Desa Pasir Nunggul Kec. Lawe Alas Kab. Aceh Tenggara Provinsi Aceh;06-08-2025;ACEH;Wilayah I;Salihin;;3.4209;97.83412
62;62;SPPG Aceh Timur Madat Paya Demam Peut;desa Paya Demam Peut kec madat Kab. Aceh Timur prov. Aceh;06-08-2025;ACEH;Wilayah I;Zulaiha;;5.09828;97.51404
63;63;SPPG Kota Subulussalam Simpang Kiri Subulussalam;Jl. T Umar, Subulussalam, Simpang Kiri, Kota Subulussalam, Aceh;06-08-2025;ACEH;Wilayah I;Ilham Nawati;;2.64628;98.00726
64;64;SPPG Bireuen Makmur Meureubo;Jl. Kabupaten, Meureubo,Kec. Makmur, Kab. Bireuen, Aceh;06-09-2025;ACEH;Wilayah I;Afkar;;5.15105;96.84838
65;65;SPPG Aceh Tamiang Kota Kualasinpang Kota Kualasimpang;Jl. Medan Banda Aceh Kampung Kota Kualasimpang Kabupaten Aceh Tamiang, Kota Kuala Simpang Aceh;06-09-2025;ACEH;Wilayah I;Muhammad Juliansyah;;4.27888;98.058
66;66;SPPG Aceh Timur Pante Bidari Buket Bata;Jl. Teupin Bate, Desa Buket Bata, Pante Bidari, Kab. Aceh Timur, Aceh;06-09-2025;ACEH;Wilayah I;Rahmat Saputra;;5.05318;97.54136
67;67;SPPG Aceh Utara Muara Batu Cot Trueng;Jl. Medan Banda Aceh No.Km 246, Cot Trueng, Kec. Muara Batu, Kabupaten Aceh Utara, Aceh;06-10-2025;ACEH;Wilayah I;M FAHMI;;5.25525;96.95535
68;68;SPPG Pidie Jaya Jangka Buya Meunasah Mee;Jl. Rel Kereta Api Gampong Meunasah Mee, Meunasah Mee, Jangka Buaya, Kabupaten Pidie Jaya, Aceh;07-09-2025;ACEH;Wilayah I;Muhammad Irsal;;5.21982;96.32215
69;69;SPPG Pidie Glumpang Tiga Bili;Jl. Medan Banda Aceh, Km 133, Desa Bili, Kecamatan Glumpang Tiga, Kabupaten Pidie, Provinsi Aceh, ;07-09-2025;ACEH;Wilayah I;Barhanuddin;;5.25018;96.04127
70;70;SPPG Aceh Barat Arongan Lambalek Seuneubok Teungoh;Jl. Meulaboh Banda Aceh Kecamatan Arongan Lambalek, Seuneubok Teungoh, Kab. Aceh Barat, Aceh;07-10-2025;ACEH;Wilayah I;Muhammad Muda Juli;;4.5021;95.76618
71;71;SPPG Aceh Timur Banda Alam Seuneubok Benteng;Jln Keude Geureubak- Jambo Reuhat, Desa Seuneubok Benteng, Kec.  Banda Alam, Kab. Aceh Timur, Aceh;07-10-2025;ACEH;Wilayah I;Faisal Handika;;4.92585;97.73255
72;72;SPPG Aceh Timur Peureulak Timur Alue Tho;Jl. Medan Banda Aceh, Alue Tho, Peureulak Timur, Kab. Aceh Timur, Aceh;08-09-2025;ACEH;Wilayah I;Alfan Khaira;;4.71318;97.883
74;74;SPPG Aceh Timur Nurussalam Pulo U;Jl. Raya Medan Banda Aceh Kec. Nurussalam Kabupaten Aceh Timur, Pulo U, Aceh;08-09-2025;ACEH;Wilayah I;Fahrul Razi;;5.03494;97.64474
76;76;SPPG Aceh Tamiang Seruway Tangsi Lama 2;Desa Tangsi Lama Kecamatan Seruway Kabupaten Aceh Tamiang, Aceh;08-09-2025;ACEH;Wilayah I;Surya Darma;;4.357;98.17729
77;77;SPPG Pidie Mutiara Blang Lileue;Jalan Banda Aceh - Medan Desa Blang Lileu Kec. Mutiara Kab. Pidie Prov. Aceh , Blang Lilue, Mutiara, Kab. Pidie, Aceh;08-09-2025;ACEH;Wilayah I;Muhammad Fajar;;5.28691;95.97276
80;80;SPPG Aceh Timur Peureulak Barat Beusa Seberang;Jl. Medan Banda Aceh, Beusa Seberang, Peureulak Barat, Kabupaten Aceh Timur, Aceh;08-09-2025;ACEH;Wilayah I;Zulfanny;;4.83672;97.88527
81;81;SPPG Aceh Utara Baktiya Meunasah Bujok;Meunasah Bujok, Kec. Baktiya, Kab. Aceh Utara, Aceh;08-10-2025;ACEH;Wilayah I;Nir Amani;;5.13512;97.44457
82;82;SPPG Kota Langsa Langsa Baro Alue Dua;Desa Alue Dua Kecamatan Langsa Baro Kota Langsa ;09-09-2025;ACEH;Wilayah I;Imamul Masakin Taufiq;;4.51103;97.94669
83;83;SPPG Kota Lhokseumawe Banda Sakti Kampung Jawa Lhokseumawe;Jl. Darussalam, Gang Satria, No. 30 Desa Kampung Jawa, Kecamatan Banda Sakti Kampung Jawa Lhokseumawe, Kota Lhokseumawe, Aceh;09-09-2025;ACEH;Wilayah I;Firdaus;;5.18366;97.14567
84;84;SPPG Aceh Tamiang Tamiang Hulu Perkebunan Pulau Tiga;Jl. Alur Jambu No. 03 Pulau Tiga Desa Perkebunan Pulau Tiga Kec. Tamiang Hulu Kab. Aceh Tamiang, Aceh;09-10-2025;ACEH;Wilayah I;Ariska;;4.20854;97.92733
85;85;SPPG Gayo Lues Pantan Cuaca Suri Musara;Jl. Pantan Cuaca Desa Suri Musara Kec. Pantan Cuaca Kab. Gayo Lues, Aceh;09-10-2025;ACEH;Wilayah I;Samsudin;;4.15086;97.199
87;87;SPPG Pidie Tiro/truseb Meunasah Mancang;Meunasah Dayah, Meunasah Dayah, Kec. Tiro/Truseb, Kab. Pidie, Aceh;09-10-2025;ACEH;Wilayah I;Muhammad Yasir;;5.20263;95.94147
88;88;SPPG Aceh Barat Daya Manggeng Lhueng Baro;Jl. Lintas Manggeng Desa Lhueng Baro, Kecamatan Manggeng, Kab. Aceh Barat Daya, Aceh;09-10-2025;ACEH;Wilayah I;Kadri Gusriyan;;3.62835;96.92006
89;89;SPPG Pidie Padang Tiji Mesjid Gogo;Jl. Banda Aceh Medan, Mesjid Gogo, Kecamatan Padang Tiji, Kab. Pidie, Aceh;09-10-2025;ACEH;Wilayah I;Arif Fadillah;;5.38406;95.84658
90;90;SPPG Aceh Tamiang Kota Kualasinpang Sriwijaya;Jl. Lintas Medan Banda Aceh Desa Sriwijaya Kec. Kota Kualasimpang Kab. Aceh Tamiang, Aceh;09-10-2025;ACEH;Wilayah I;Riko Firmanda;;4.2789;98.05722
91;91;SPPG Aceh Selatan Sawang Lhok Pawoh;Jl. Nasional Tapak Tuan Blang Pidie Desa Lhok Pawoh, Kecamatan Sawang, Kabupaten Aceh Selatan, Aceh;10-09-2025;ACEH;Wilayah I;Aldi Satria;;3.35721;97.1183
93;93;SPPG Aceh Utara Lhoksukon Trieng Matang Ubi 2;Jl. Medan - Banda Aceh Gp Trieng Matang Ubi, Trieng Matang Ubi, Lhoksukon, Kab. Aceh Utara, Aceh;10-09-2025;ACEH;Wilayah I;Muhammad Yahdi Wicaksono;;5.04474;97.33017
94;94;SPPG Pidie Glumpang Tiga Kruet Teumpeun;Jl. Kuala Tari Mukim Teupin Ray, Kruet Teumpeun, Kec. Glumpang Tiga, Kab. Pidie, Aceh;10-10-2025;ACEH;Wilayah I;Martunis S.H;;5.24867;96.01633
95;95;SPPG Aceh Tenggara Semadam Ngkeran Alur Buluh;Desa Ngkeran Alur Buluh Kec. Samadam, Kab. Aceh Tenggara, Aceh;10-10-2025;ACEH;Wilayah I;Rabullah Putra S.H;;3.42314;97.82794
96;96;SPPG Aceh Selatan Pasi Raja Ujung Padang Asahan;Jln. Merdeka No 260-262 Gp.Pasar Kec. Tapaktuan  Kabupaten Aceh Selatan;11-08-2025;ACEH;Wilayah I;Isful Riza Yuanda;;3.25687;97.18122
97;97;SPPG Aceh Timur Sungai Raya Labuhan Keudee;`Jalan Medan- Banda Aceh Desa Labuhan Keude Kecamatan Sungai Raya Kabupaten Aceh Timur;11-08-2025;ACEH;Wilayah I;Ali Rahman;;4.67455;97.91582
98;98;SPPG Aceh Selatan Trumon Timur Seuneubok Punto;Jl. Seuenebok Punto, Desa Seuneubok Punto, Kecamatan Trumon Timur, Kabupaten Aceh Selatan, Aceh;11-09-2025;ACEH;Wilayah I;Iskandar Muda;;2.84251;97.77989
99;99;SPPG Aceh Besar Indrapuri Lingom;Jl. Banda Aceh - Medan Desa Lingom Kecamatan Indrapuri Aceh Besar , Lingom, Indrapuri, Kab. Aceh Besar, Aceh;11-09-2025;ACEH;Wilayah I;Muhammad Luthfi;;5.41446;95.44042
100;100;SPPG Aceh Timur Ranto Peureulak Alue Dua;Jl. Ranto Panjang Peunaron, Alue Dua, Ranto Peureulak, Kab. Aceh Timur, Aceh;11-09-2025;ACEH;Wilayah I;Amar Taqwa;;4.76696;97.80626
102;102;SPPG Aceh Barat Daya Jeumpa Ikue Lhung;Jl. Nasional Tapaktuan Meulaboh. Desa Ikue Lhung. Kecamatan Jeumpa Kabupaten Aceh Barat Daya, Aceh;11-10-2025;ACEH;Wilayah I;Firnanda;;3.67345;96.90909
103;103;SPPG Simeulue Simeulue Timur Suka Jaya;Jl. Pertamina, Desa Suka Jaya Kecamatan Simeulue Timur, Kabupaten Simeulue, Aceh;11-10-2025;ACEH;Wilayah I;Erikta Defsuar;;2.47039;96.38154
105;105;SPPG Pidie Mutiara Timur Alue Adan;Jojo, Mutiara Timur, Kabupaten Pidie, Aceh, Alue Jojo, Mutiara Timur, Kab. Pidie, Aceh;12-09-2025;ACEH;Wilayah I;Fazar Saputra;;5.26933;95.98827
106;106;SPPG Aceh Tenggara Babussalam Pulonas;Pulonas Kecamatan Babussalam, Kab. Aceh Tenggara, Aceh;12-09-2025;ACEH;Wilayah I;Rusdi Makmur Selian;;3.48063;97.80986
107;107;SPPG Simeulue Salang Jaya Baru;Jl. Raya Simeulue Teupah Desa Jaya Baru Kec. Salang Kab. Simeulue, Aceh;12-10-2025;ACEH;Wilayah I;Ahmad Fadil;;2.64742;95.85478
108;108;SPPG Simeulue Simeulue Cut Latak Ayah;Jln. Tgk. Diujung, Desa Latak Ayah, Kec. Simeulue Cut, Kab. Simeulue, Prov. Aceh;13-01-2025;ACEH;Wilayah I;Rinaldi Amonanda Saputra;Yayasan Rumah Kita Indonesia;2.58532;95.93089
109;109;SPPG Aceh Besar Darul Imarah Lam Bheu;Jl. Ikhlas No. 7, Lam Bheu, Kecamatan Darul Imarah, Kabupaten Aceh Besar, Provinsi Aceh;13-01-2025;ACEH;Wilayah I;Fachri Afriandi Siregar, S.H.;Yayasan Atjeh Makmu Beusare;5.51527;95.30178
110;110;SPPG Aceh Tamiang Kejuruan Muda Bukit Rata;Jl. Medan - B.Aceh, Desa Bukit Rata, Kec. Kejuruan Muda, Kab. Aceh Tamiang;13-01-2025;ACEH;Wilayah I;Putri Arifah;Yayasan Pemuda Santri Aceh Barat;4.2614;98.06108
111;111;SPPG Bireuen Jeumpa Glumpang Payong;Jl. Medan - Banda Aceh , Kecamatan Jeumpa Desa Glumpang Payong, Glumpang Payong, Jeumpa, Kab. Bireuen, Aceh;13-09-2025;ACEH;Wilayah I;Munawar Khalil;;5.20642;96.67134
112;112;SPPG Pidie Indrajaya Blang Garot;Jl. Jabal Ghafur - Sigli Gampong Blang Garot Kecamatan Garot Kabupaten Pidie, Blang Garot, Indrajaya, Kab. Pidie, Aceh;13-09-2025;ACEH;Wilayah I;Diki Rivaldi;;5.29358;95.92178
114;114;SPPG Aceh Tamiang Kejuruan Muda Sungai Liput 2;Jl. Medan Banda Aceh, Sungai Liput, Kec. Kejuruan Muda, Kab. Aceh Tamiang, Aceh;13-10-2025;ACEH;Wilayah I;Raid Naufal;;4.14443;98.06409
115;115;SPPG Pidie Mila Teumeucet;Jl. Desa Teumeucet Desa Teumeucet Kec. Mila Kab. Pidie, Aceh;13-10-2025;ACEH;Wilayah I;Muchlian;;5.30378;95.90876
116;116;SPPG Aceh Besar Simpang Tiga Lam Urit;Jl. Tgk Fakinah, Desa Lam Urit, Lam Urit, Kec. Simpang Tiga, Kab. Aceh Besar, Aceh;13-10-2025;ACEH;Wilayah I;Fachri Hasan Lubis;;5.46833;95.36297
117;117;SPPG Nagan Raya Kuala Pesisir Padang Rubek;Jl. Nasional Meulaboh Tapak Tuan, Desa Padang Rubek, Kecamatan Kuala Pesisi, Kabupaten Nagan Raya, Aceh;13-10-2025;ACEH;Wilayah I;Imam Satria Adhiyaksa;;4.1454;96.12806
118;118;SPPG Aceh Selatan Meukek Kuta Buloh I;Jl. Nasional Meukek Blang Pidie Desa Kuta Buloh I Kec. Meukek Kab. Aceh Selatan, Aceh;13-10-2025;ACEH;Wilayah I;Aditya Frambudi;;3.47647;97.05712
119;119;SPPG Simeulue Teupah Selatan Labuhan Bakti;Desa Labuhan Bakti Teupah Selatan;14-04-2025;ACEH;Wilayah I;Zeffry Sahputra;Yayasan Rumah Kita Indonesia;2.39968;96.46674
122;122;SPPG Aceh Tenggara Deleng Pokhkisen Muhajirin;Desa Muhajirin , Kec. Deleng Pokhkisen Kabupaten Aceh Tenggra;14-07-2025;ACEH;Wilayah I;Suci Sulastri;Yayasan Pendidikan Hasanah;3.50691;97.82052
123;123;SPPG Aceh Tamiang Karang Baru Kesehatan;Jl. Setia Dusun Setia No.40, Kesehatan, Kec. Karang Baru, Kab. Aceh Tamiang, Aceh;14-10-2025;ACEH;Wilayah I;Armai Ditya;;4.29092;98.05253
124;124;SPPG Pidie Pidie Lampeudue Baroh;Jl. Lingkar Blang Pase, Lampeudue Baroh, Pidie, Kab. Pidie, Aceh;15-09-2025;ACEH;Wilayah I;Jumaika Zwana;;5.36886;95.96138
126;126;SPPG Aceh Tengah Bebesen Empus Talu;Jl. Soekarno Hatta, Desa Empus Talu, Kecamatan Bebesen, Kabupaten Aceh Tengah, Provinsi Aceh.;15-09-2025;ACEH;Wilayah I;Ahmad Baihaqi;;4.63294;96.83501
