"is_spam","post_text","comment_text"
False,"Prabowo Tekankan Keselamatan Anak Prioritas Utama MBG: Insiden Bukan Sekadar Angka

Jakarta – Presiden RI Prabowo Subianto menekankan keselamatan anak merupakan prioritas utama dalam pelaksanaan Program Makan Bergizi Gratis (MBG). Hal ini disampaikan Menteri Koordinator Bidang Pangan Zulkifli Hasan (Zulhas) usai rapat koordinasi di Kementerian Kesehatan, Minggu (28/9).

“Kemarin, Bapak Presiden setibanya di Tanah Air langsung memimpin beberapa menteri di Halim untuk mengadakan rapat. Salah satu yang dibahas adalah mengenai Makan Bergizi Gratis. Setelah dari Halim, semalam masih melanjutkan pembahasan soal Makan Bergizi Gratis. Dan siang ini, atas instruksi dari Bapak Presiden, kami melakukan rapat koordinasi dengan kementerian dan lembaga yang tadi saya sampaikan kepada saudara-saudara,” kata Zulhas.

Menurutnya, perhatian Prabowo terhadap insiden yang terjadi di sejumlah Satuan Pelayanan Pemenuhan Gizi (SPPG) sangat serius. “Jadi, betapa serius perhatian Bapak Presiden terhadap masalah ini. Saya sampaikan, atas petunjuk dan arahan Bapak Presiden bahwa bagi pemerintah, keselamatan anak adalah prioritas utama. Kami menegaskan, insiden bukan sekadar angka, tetapi menyangkut keselamatan generasi penerus,” tegas Zulhas.

Langkah yang ditempuh meliputi penutupan sementara SPPG bermasalah, evaluasi kedisiplinan di SPPG khususnya juru masak, serta sterilisasi peralatan dan perbaikan sanitasi, kualitas air, dan alur limbah. 

“Kemudian diperintahkan semua kementerian, lembaga, pemda, pemangku kepentingan program MBG ikut dan aktif dalam proses perbaikannya. Kementerian, daerah, lembaga terkait juga harus bersama-sama aktif. Tidak menunggu, tapi aktif melakukan pengawasan,” tegasnya.

Zulhas menambahkan bahwa setiap SPPG  diwajibkan memiliki sertifikat laik higienis dan sanitasi (SLHS). “Memang sertifikat laik higienis dan sanitasi itu syarat. Tetapi setelah kejadian, sekarang mendapat perhatian khusus. Harus, atau wajib hukumnya, setiap SPPG punya SLHS. Harus. Karena kalau tidak ada, nanti kejadian lagi, kejadian lagi. Karena keselamatan anak-anak kita adalah perintah utama,” tuturnya.

Pemerintah juga meminta puskesmas dan Usaha Kesehatan Sekolah (UKS) ikut aktif melakukan pemantauan rutin. “Kami sudah meminta juga Menteri Kesehatan untuk mengoptimalkan atau menginstitusikan puskesmas di seluruh tanah air, dan juga UKS, usaha kesehatan sekolah, untuk ikut secara aktif, tanpa diminta, aktif. Untuk ikut memantau SPPG secara rutin, berkala,” jelas Zulhas.

Zulhas menegaskan langkah-langkah ini dilakukan secara terbuka agar masyarakat yakin makanan yang disajikan aman. “Semua langkah ini diambil secara terbuka agar masyarakat yakin bahwa makanan yang disajikan aman, bergizi bagi seluruh anak Indonesia,” tuturnya.

Menteri Dalam Negeri Tito Karnavian menambahkan bahwa koordinasi akan berlanjut pada Senin (29/9) pagi. “Besok kami dari Kemendagri akan zoom meeting dengan seluruh kepala daerah, kemudian Kepala Dinas Kesehatan, Kepala Dinas Pendidikan, serta sekda. Nanti juga akan dihadiri langsung oleh Bapak Menkes yang akan memberikan arahan teknis kepada Kepala Dinas Kesehatan. Juga ada dari BGN,” ujarnya.

Rapat tersebut akan membahas standar sertifikat laik higienis dan sanitasi secara teknis.

Zulhas memastikan rakor akan terus berlanjut antar kementerian dan lembaga untuk mengambil langkah lebih serius. “Kami juga akan tindak lanjuti rapat ini pada hari Rabu mendatang untuk mengambil langkah-langkah yang lebih serius,” ucap dia.

@prabowo #Prabowo #PrabowoSubianto #MakanBergiziGratis #ZulkifliHasan #KeselamatanAnak #ElshintaNews",NULL
True,"@HeinzHanz169027 @sigmakun28 Gw tambahin. Sekolah negeri dr jaman sby gratis. Guru masih bnyk yg gajinya ga layak. Bnyk phk. Koruptor ditangkep trus disunat hukumannya. Mbg food wasting dan keracunan. Pajak makin bengkak. Gaji pejabat naik. Spbu swasta ga ditambah izin impornya.",NULL
True,"#fyp #foryou #movie #foryoupage ",NULL
False,"@GunRomli Katanya menjunjung demokrasi dan ingin menegakkan keadilan, masa ditanya wartawan soal keracunan siswa dampak MBG ngamuk dan usir wartawan dari istana. Gimana ini ya?",NULL
True,"Program Makan Bergizi Gratis: Langkah nyata pemerintah untuk menciptakan generasi sehat! Setiap anak berhak mendapatkan gizi seimbang agar tumbuh optimal.

#MBG #ProgramPrioritas #ProgramPresiden #Gizi #Sehat https://t.co/0CKLrfbWpQ",NULL
False,"Kepala Kepolisian RI (Kapolri) Jenderal Listyo Sigit Prabowo menerbitkan Surat Perintah Sprin/2749/IX/2025 tentang pembentukan Tim Transformasi Reformasi Polri. Tim ini berisi pejabat utama Mabes Polri dan diberi mandat mempercepat agenda reformasi kelembagaan kepolisian.

Berdasarkan dokumen surat perintah kapolri tertanggal 17 September itu, Tim Transformasi Reformasi Polri terdiri dari 52 perwira tinggi dan menengah Polri. Kepala Lembaga Pendidikan dan Pelatihan Polri Komisaris Jenderal Chryshnanda Dwilaksana didapuk menjadi ketua tim. Sementara itu, Kapolri Jenderal Listyo Sigit Prabowo bertugas sebagai pelindung dan Wakapolri Komisaris Jenderal Dedi Prasetyo menjadi penasihat.

Tim Transformasi akan bekerja melalui pendekatan sistematis dan berkoordinasi dengan pemerintah serta pemangku kepentingan lain untuk mengelola proses transformasi institusi. Tujuan dan ruang lingkup pekerjaan tim mengacu pada Grand Strategy Polri 2025–2045, termasuk penyusunan kebijakan strategis, program prioritas, dan pengawalan implementasi reformasi di pusat dan wilayah.

Dokumen tersebut menyatakan jabatan yang tercantum bersifat ex officio (melekat pada jabatan struktural), sehingga personel yang masuk dalam tim adalah pejabat yang memang memangku jabatan terkait di Mabes Polri dan satuan kerja teknis. Surat perintah juga menginstruksikan setiap anggota untuk menyusun rencana kegiatan, kebutuhan anggaran, dan mekanisme koordinasi lintas unit untuk memastikan percepatan transformasi.
~
#reformasipolri
#kapolri #kapolrilistyosigitprabowo #mcmnews",NULL
False,"Menu Day-2 Selasa, 23 September 2025 

Sasaran 
RA Assaidiyyah
SD IT Assaidiyyah 
SDN Pameuntasan 1 
MTs MA Pameuntasan 
MA MAs Pameuntasan 
SMP AL - Burdah 
SMK AL - Burdah 

Alhamdulilah terdistribusikan dengan lancar, terimakasih untuk semua relawan dan koordinator sekolah yg mau bekerjasama mensukseskan program ini 

@dadangsupriatna
@prabowo

#mbg
#sppg #kabbandung #indonesiaemas2045 #prabowo",NULL
False,"@GoodRecom Menu mbg",NULL
True,"Collins Dystem - Ohm (Cut Edit)
#trance #trancemusic #tranceclassics #ravetrance #hardtrance #progressivetrance #psytrance #goatrance #trancefamily #trancenation #tranceaddict #trancelovers #tranceenergy #trance4life #trancefestival #trancefam #tranceforever #trancelife #music #musica #musician #musicislife #song #dj #goodmusic #collinssystem",NULL
False,"Justru kalau Anda msh menjabat Kapolri, maka institusi Polri semakin ancuuuuur amburadul gak karuan. Salah satu utk menyelamatkan Polri adalah Anda hrs mundur sbg Kapolri. Ikan busuk itu di awali dari kepalanya. #ReformasiPolri #fbpro #fyp #pengikut semua orang",NULL
True,"Komitmen memperbaiki tata kelola dan memperketat prosedur program MBG

#ProgramMBG #MakanBergiziGratis #MBGAman #GenerasiUnggul #GenerasiSehatCerdas #GenerasiEmas #IndonesiaEmas https://t.co/oUL1EcKMVM",NULL
True,"Sekarang MBG dipastikan higienis dan Pemerintah berkomitmen untuk terus memperbaiki kualitas program makan bergizi gratis ini
https://t.co/57a7g5YXdq",NULL
True,"Drama MBG! Lebih dari 5000 siswa keracunan makanan bergizi gratis. #mbg #makanbergizigratis #beritaviral ",NULL
True,"@Sentani_REBORN @BiLLRaY2019 Sekarang pegang MBG , masih percaya? #tukangbohong",NULL
False,"Ternyata PARCOK ( Kepolisian ) IKUT TERLIBAT Dalam PILKADA Dan PILPRES 2024 !!",NULL
True,"Program Makan Bergizi Gratis (MBG) sudah membagikan 1,1 miliar porsi makanan sejak Januari 2025. Kini ada 9.406 dapur di 38 provinsi yang melayani 28 juta penerima manfaat, mulai dari anak sekolah, balita, ibu hamil, hingga ibu menyusui. 

Program ini juga menyerap 337 ribu tenaga kerja dan menjaga kualitas dengan 99,1% dapur aman. Pemerintah terus menargetkan 100% dapur bebas insiden demi gizi sehat untuk seluruh rakyat.

(Data per 26 September 2025)

#presidenprabowo #prabowo #pemerintah #indonesiaemas #dekade08 #makanbergizigratis #mbg",NULL
False,"MBG menciptakan ekosistem baru di sekitar sekolah ada petani sayur, nelayan, hingga ibu-ibu dapur yang ikut terlibat. Semua bekerja untuk anak-anak Indonesia. https://t.co/PMfBlBDMul",NULL
False,"Tanda Tanya #Bravepink Gerakan Atas Dasar Apa ⁉️

Gedung DPRD Jabar Sudah Di Bersihkan Ojol, TNI Dll Malah Di Kotori Lagi Sama Ibu-ibu Berbaju Pink 😭 Maunya Apa Sih Buk‼️

#dprdjabar #jawabarat #dprd #ojol https://t.co/BSTNJJx89a",NULL
True,"#CyberSecurity #InfoSec #HackerHumor #CyberMeme #TechMeme #ITMeme #DataSecurity #Hacking #Pentesting #BugBounty #HackThePlanet #EthicalHacking #CyberAttack #SecurityMeme #NetworkSecurity #InfosecHumor #programming",NULL
False,"Sepulang dari kunjungan luar negeri, Presiden Prabowo Subianto menegaskan akan segera memanggil Kepala Badan Gizi Nasional (BGN) Dadan Hindayana dan pejabat terkait untuk membahas dugaan kasus keracunan program Makan Bergizi Gratis (MBG).

“Ini masalah besar, mungkin ada kekurangan di awal, tapi saya yakin bisa diselesaikan dengan baik,” kata Prabowo di Bandara Halim, Jakarta, Sabtu (27/9/2025).

Baca selengkapnya di sini: 
https://www.inews.id/news/nasional/prabowo-tiba-di-indonesia-usai-kunker-luar-negeri-disambut-gibran-dan-para-menteri

#PresidenPrabowo #MakanBergiziGratis #MBG #KeracunanMBG #BadanGiziNasional #PrabowoSubianto",NULL
False,"Badan Gizi Nasional (BGN) membentuk tim investigasi bersama kepolisian, Badan Pengawas Obat dan Makanan (BPOM) dan Dinas Kesehatan (Dinkes) untuk menangani kasus keracunan Makan Bergizi Gratis (MBG) massal yang terjadi di berbagai daerah. 

“Setiap ada kejadian, kami berkoordinasi dengan Polres. Mereka datang ke tempat kejadian, mengambil sampel secara pro justitia. Kalau ditemukan unsur kesengajaan, apalagi pidana, tentu pelaku yang bertanggung jawab berdasarkan hasil penyelidikan,” ujar Wakil Kepala BGN Sony Sanjaya di Cibubur, Jawa Barat, Kamis (25/9). 

Meski demikian, Sony menegaskan sejauh ini tidak ditemukan kasus keracunan MBG yang disebabkan unsur kesengajaan. Selama sembilan bulan BGN beroperasi belum ada yang dipidanakan dan sebagian masih diproses. 

""Silakan dicek, silahkan ke kepala SPPG itu mereka bolak-balik kantor polisi untuk dimintai keterangan, kesaksian,"" katanya.

Selengkapnya, klik link di bio. 

Kreator konten: Yelinda
Editor: Ferrika Lukmana Sari

#MakanBergiziGratis #MBG #BadanGiziNasional #Polri #BPOM #KatadataUpdate #Katadatacoid #KalauBicaraPakaiData",NULL
True,"Aktor siber bernama COMMUNISM mengklaim telah meretas Bank Central Asia (BCA) dan mencuri data sensitif sekitar 20 juta nasabah, termasuk nama, NPWP, dan nomor rekening. Klaim ini langsung dibantah tegas oleh Hera F. Haryn, EVP Corporate Communication & Social Responsibility BCA. Ia memastikan bahwa informasi tersebut tidak benar, sistem BCA aman, dan data nasabah terlindungi berkat standar keamanan berlapis. Tangkapan layar yang beredar sebagai bukti peretasan juga disebut palsu dan menyesatkan publik. Meskipun demikian, BCA mengimbau nasabah untuk selalu waspada dengan tidak membagikan data rahasia (password, OTP, PIN) kepada siapa pun dan hanya menghubungi saluran resmi BCA untuk klarifikasi. 

📍 Sumber: tirto.id 

#BCA #COMMUNISMHack #BCAAman #CyberAttack #PeretasanBCA#KeamananData #DataNasabah #CyberSecurity #HoaksPeretasan #TechAsia #Indonesia #ViralTech",NULL
False,"Siapa sangka, sepiring makan siang bisa ubah semangat satu sekolah?  Guru di Papua cerita: dulu muridnya sering absen dan ngantuk di kelas, sekarang? Nggak sabar masuk sekolah tiap pagi ❤️ #obrolan08  #makanbergizigratis  #badangizinasional  #DukungMBG  #MBGCerdaskanBangsa ",NULL
True,"Pemerintah Tindaklanjuti Arahan Presiden Prabowo, Perkuat Tata Kelola Program Makan Bergizi Gratis Jakarta, 28 September 2025 – Menindaklanjuti arahan Presiden Republik Indonesia, Prabowo Subianto, mengenai peningkatan kualitas pelaksanaan Program Makan Bergizi Gratis (MBG), Pemerintah melalui rapat koordinasi terbatas lintas kementerian dan lembaga telah mengambil langkah-langkah tegas dalam menyikapi sejumlah temuan dan insiden di lapangan. “Keselamatan anak adalah prioritas utama. Insiden yang terjadi bukan sekadar angka, melainkan menyangkut keselamatan dan masa depan generasi penerus bangsa,” tegas juru bicara pemerintah dalam konferensi pers usai rapat koordinasi. Sebagai bentuk komitmen terhadap peningkatan mutu dan keamanan pangan, Pemerintah telah memutuskan untuk menutup sementara seluruh Satuan Pelaksana Pemberian Gizi (SPPG) yang terindikasi bermasalah, selama proses evaluasi dan investigasi berlangsung. Langkah cepat juga diambil dalam hal sterilisasi seluruh alat makan, serta perbaikan sistem sanitasi di setiap titik layanan MBG. Pemerintah menekankan pentingnya kualitas air yang digunakan, dan memastikan alur pembuangan limbah berjalan sesuai standar kesehatan dan lingkungan. Rapat koordinasi juga menghasilkan keputusan percepatan dalam perbaikan dan penguatan tata kelola program MBG, agar pelayanan yang diberikan tidak hanya memenuhi kebutuhan gizi anak, tetapi juga terjamin keamanannya secara menyeluruh. “Semua langkah ini kami lakukan secara terbuka dan bertanggung jawab. Pemerintah ingin memastikan bahwa makanan yang disajikan untuk anak-anak Indonesia benar-benar aman, bergizi, dan sesuai standar terbaik,” lanjutnya. Dengan pengawasan yang lebih ketat dan perbaikan sistem menyeluruh, Pemerintah berharap masyarakat dapat kembali percaya dan mendukung pelaksanaan Program Makan Bergizi Gratis sebagai bagian dari upaya membangun generasi emas Indonesia. #MBG #Perbaikan #Pangan #Zulas #MakanBergiziGratis  ",NULL
True,"✈️🚨 Global Airport Systems Breached!
Airlines grounded, chaos worldwide, and critical systems under attack by ransomware. Cybersecurity is no longer optional — it’s survival. 🔐

Stay safe: Change passwords, enable 2FA, and verify sources!#CyberAttack #AirportBreach #CyberSecurity #HackingAlert #Ransomware #DataBreach #Hackers #InfoSec #CyberThreat #GlobalSecurity #DarkWeb #OnlineSafety #TechNews #TravelAlert #DigitalSecurity #ProtectYourData #CyberAwareness #AirportSecurity#secure_pluse",NULL
True,"@ezeroho8245 @multibank_io $MBG is setting new standards in global finance.@multibank_io",NULL
False,"@FunJunkies Makin sering baca soal MBG, makin benci dan ngutuk siapapun yg punya ide dan mendorong program 💩🐶 ini menjadi kenyataan.",NULL
False,"pak bambang pak bambang #masukberanda #pakbambang #mbg #fyppppppppppppppppppppppp #kontenkelas ",NULL
False,"@msaid_didu Transformasi Reformasi Polri oleh Polri sendiri? Bagaimana bisa ? Mbok nunggu Presiden dong ?",NULL
False,"MBG DAY THREE😍 #mbg #makanbergizigratis #fyp ",NULL
True,"Sekolah Dasar Negeri (SDN) Dinoyo 2 Kota Malang mengembalikan ratusan paket Makan Bergizi Gratis (MBG) kepada Satuan Pelayanan Pemenuhan Gizi (SPPG) Bani Umar. Pasalnya, makanan dalam paket tersebut tercium berbau tidak sedap saat dilakukan pengecekan. Kepala SDN Dinoyo 2 Kota Malang, A. Jumain, membenarkan bahwa pengembalian dilakukan pada Kamis (9/10/2025). Ia mengatakan, pihaknya langsung mengembalikan paket setelah melakukan pemeriksaan sampel dan menemukan aroma yang tidak wajar. “Setiap pengiriman MBG ke sekolah kami pasti dicek terlebih dahulu. Setelah dicek, ternyata aroma makanannya banger, tidak seperti biasanya. Dalam ketentuan, kalau bau memang tidak boleh dikonsumsi anak-anak,” jelas Jumain, Jumat (10/10/2025). Jumain menegaskan, keputusan mengembalikan makanan itu dilakukan demi keselamatan para siswa. Ia menyebut ada 492 siswa yang rutin menerima program MBG di sekolahnya. “Saya tidak mau membagikan makanan itu karena risikonya besar. Kalau tetap dikonsumsi, saya yang dzalim,” tegasnya. Menurut Jumain, menu MBG yang dikirim hari itu sebenarnya masih sama seperti biasanya — terdiri dari menu empat sehat lima sempurna. Hanya saja, lauk ayam suwir diduga menjadi sumber bau tidak sedap. Selengkapnya kunjungi website www.blok-a.com #infomalang #infomalangraya #mbg #makanbergizigratis #bautaksedap",NULL
False,"Pengakuan Jenderal Bintang Tiga: Dosa-Dosa Polri Dibongkar! Seorang jenderal bintang tiga, Komjen Chryshnanda Dwilaksana (Ketua Tim Transformasi Reformasi Polri), secara terbuka mengakui adanya dosa-dosa Polri. Bersama Oegroseno (Mantan Wakapolri) di kanal Akbar Faizal Uncensored, perbincangan ini mengulik reformasi kepolisian, dua tim yang berjalan paralel, hingga keresahan publik tentang masa depan Polri. Apakah pengakuan ini akan jadi titik balik menuju perubahan nyata, atau hanya sebatas retorika? ⚖️ Disclaimer Konten ini dibuat untuk tujuan edukasi, diskusi publik, dan analisis kritis. Tidak dimaksudkan untuk menyerang pribadi atau institusi, melainkan mendorong transparansi, akuntabilitas, dan perbaikan bersama. #FYP #PengakuanJenderal #ReformasiPolri #AkbarFaizalUncensored #Chryshnanda #Oegroseno #DosaPolri #TransformasiPolri #KomiteReformasi #Polri #Transparansi",NULL
True,"🍽️ Menu Makanan Bergizi Gratis
🗓️ Senin, 29 September 2025

Menu hari ini:
- Nasi Putih
- Tempe 
- Ayam Saus BBQ
- Tumis Buncis Wortel
- Jeruk

Gizi seimbang di piringmu, kesehatan menyertai langkahmu 💛✨

#makananbergizigratis #menu #makanansehatgratis #ayomakansehat #sehat #bergizi #sppg #mbg #bgn #today #ayam #saus #bbq",NULL
False,"Pak #peabowo ga ada salahnya dicoba program makan bergizi gratisnya seperti metode Pa #aniesbaswedan ",NULL
True,"""Jokowi sudah meninggalkan 20~30 juta orang kelaparan.
Jadi, yang mau menghentikan Program MBG sungguh jahat sekali""
Kira-kira itulah yang dikatakan Pak Jumhur Hidayat. https://t.co/8mX68XO8CH",NULL
False,"Hari Jum’at, 26 September 2025 🥰 #makanbergizigratis #sppg  #sppi #mbg ",NULL
